                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3601,                 2.3215,                0.87128,                0.82864,                0.54207,                0.62202,                0.36317,                 1.2815,                0.87273,                0.85665,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.2882,                0.83372,                0.86155,                0.83313,                0.54489,                0.61675,                0.37217,                 1.2447,                0.88281,                0.85358,              0.0060053,              0.0060053,              0.0060053
